# 2024/11/18 絵本 chatgptで作成 1
# type,arg1,arg2,arg3,arg4
# speak,f1,100,happy=0_fun=0,こんにちは
# silent,3

# タイトル
silent,1
speak,f1,100,happy=0,森の冒険者、タケルと、ふしぎなタネ。
silent,3

# ページ1: 出発
start-page,,,,
speak,f1,100,happy=0,森が大好きなタケルは、不思議なタネを見つけました。
silent,1
speak,m1,100,happy=80_fun=50,「植えたらすごい植物が育つかも！」
silent,1
speak,f1,100,happy=0,ワクワクしながら家に帰ろうとしますが、急いで走って道に迷ってしまいます。
end-page,,,,
silent,3

# 2ページ目: 森の教え
start-page,,,,
speak,f1,100,happy=0,タケルが困っていると、森の大きな木が話しかけてきました。
silent,1
speak,m3,100,happy=0,「タケルよ、急ぐばかりでは道を見失うぞ。ゆっくり進むことで、自然が道を教えてくれるんだ。」
end-page,,,,
silent,3

# 3ページ目: ゆっくり歩く冒険
start-page,,,,
speak,f1,100,happy=0,タケルは木の言葉を信じ、ゆっくり歩き始めました。
silent,1
speak,f1,100,happy=0,すると、森の中で新しい発見が次々と！
silent,1
speak,f1,100,happy=0,キノコの妖精や、小川で水を飲むシカの親子にも出会いました。
end-page,,,,
silent,3

# 4ページ目: 家と成長
start-page,,,,
speak,f1,100,happy=0,タケルは安全に家へ到着し、タネを植えました。
silent,1
speak,f1,100,happy=0,やがて芽が出て大きな木に。
silent,1
speak,f1,100,happy=0,「森の知恵のおかげで、僕もタネもゆっくりと成長できたんだね。」
silent,1
speak,f1,100,happy=0,タケルは笑顔で空を見上げました。
end-page,,,,
silent,3

# おわり
# speak,f1,100,happy=0,おしまい。

